id,articulo,descripcion
16858,PERCHERO MADERA,CAFE
41594,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
56000,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L."
56027,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56796,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125
30113,MESA DE CENTRO,MADERA VINO
41651,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
55995,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L."
56024,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56797,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125
61452,PERCHERO MADERA COLOR CAFE,
17309,MESA MULTIUSOS,MADERA VINO
17315,MESA MULTIUSOS,MADERA VINO
21929,MESA DE TRABAJO MADERA,VINO
41682,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
52542,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52543,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52545,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52547,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52551,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52565,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52570,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
52573,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
